Constituency,Votes
1-MANJESHWAR,42565
2-KASARAGOD,21615
3-UDMA,70679
4-KANHANGAD,80558
5-TRIKARIPUR,79286
6-PAYYANNUR,83226
7-KALLIASSERI,83006
8-TALIPARAMBA,91106
9-IRIKKUR,62901
10-AZHIKODE,60795
11-KANNUR,54347
12-DHARMADAM,87329
13-THALASSERY,70741
14-KUTHUPARAMBA,67013
15-MATTANNUR,84030
16-PERAVOOR,57670
17-MANANTHAVADY,62436
18-SULTHANBATHERY,64549
19-KALPETTA,72959
20-VADAKARA,49211
21-KUTTIADI,70652
22-NADAPURAM,74742
23-QUILANDY,70593
24-PERAMBRA,72359
25-BALUSSERI,82914
26-ELATHUR,76387
27-KOZHIKODE NORTH,64192
28-KOZHIKODE SOUTH,43536
29-BEYPORE,69114
32-THIRUVAMBADY,62324
36-WANDOOR,58100
37-MANJERI,50163
38-PERINTHALMANNA,70411
39-MANKADA,67657
40-MALAPPURAM,45400
41-VENGARA,34124
42-VALLIKKUNNU,47110
46-KOTTAKKAL,56726
48-PONNANI,69332
49-THRITHALA,55958
50-PATTAMBI,64025
51-SHORNUR,66165
52-OTTAPALAM,67161
53-KONGAD,60790
54-MANNARKAD,60838
55-MALAMPUZHA,73299
56-PALAKKAD,38675
57-TARUR,67047
58-CHITTUR,69270
59-NENMARA,66316
60-ALATHUR,71206
61-CHELAKKARA,67771
62-KUNNAMKULAM,63274
63-GURUVAYOOR,66088
64-MANALUR,70422
65-WADAKKANCHERY,65492
66-OLLUR,71666
67-THRISSUR,53664
68-NATTIKA,70218
69-KAIPAMANGALAM,66824
70-IRINJALAKKUDA,59730
71-PUTHUKKAD,79464
72-CHALAKKUDY,74251
73-KODUNGALLUR,67909
74-PERUMBAVOOR,57197
75-ANGAMALY,57480
76-ALUVA,50733
77-KALAMASSERY,56608
78-PARAVUR,54351
79-VYPEN,68526
80-KOCHI,47967
81-THRIPUNITHURA,62697
82-ERANAKULAM,35870
83-THRIKKAKARA,49455
84-KUNNATHUNAD,62766
85-PIRAVOM,67575
86-MUVATTUPUZHA,70269
87-KOTHAMANGALAM,65467
88-DEVIKULAM,49510
89-UDUMBANCHOLA,50813
92-PEERUMADE,56584
93-PALA,54181
94-KADUTHURUTHY,31537
95-VAIKOM,61997
96-ETTUMANOOR,53805
97-KOTTAYAM,40262
98-PUTHUPPALLY,44505
100-KANJIRAPPALLY,49236
102-AROOR,84720
103-CHERTHALA,81197
104-ALAPPUZHA,83211
105-AMBALAPUZHA,63069
106-KUTTANAD,50114
107-HARIPAD,57359
108-KAYAMKULAM,72956
109-MAVELIKARA,74555
110-CHENGANNUR,52880
111-THIRUVALLA,59660
112-RANNI,58749
113-ARANMULA,64523
114-KONNI,52052
115-ADOOR,76034
116-KARUNAGAPPALLY,69902
117-CHAVARA,64666
119-KOTTARAKKARA,83443
120-PATHANAPURAM,74429
121-PUNALOOR,82136
122-CHADAYAMANGALAM,71262
123-KUNDARA,79047
124-KOLLAM,63103
125-ERAVIPURAM,65392
126-CHATHANNOOR,67606
127-VARKALA,53102
128-ATTINGAL,72808
129-CHIRAYINKEEZHU,64692
130-NEDUMANGAD,57745
131-VAMANAPURAM,65848
132-KAZHAKKOOTTAM,50079
133-VATTIYOORKAVU,40441
135-NEMOM,59142
136-ARUVIKKARA,49596
137-PARASSALA,70156
138-KATTAKKADA,51614
139-KOVALAM,57653
140-NEYYATTINKARA,63559
