Constituency,Votes
1-MANJESHWAR,56870
2-KASARAGOD,64727
3-UDMA,66847
4-KANHANGAD,54547
5-TRIKARIPUR,62327
6-PAYYANNUR,42963
7-KALLIASSERI,40115
8-TALIPARAMBA,50489
9-IRIKKUR,72548
10-AZHIKODE,63082
11-KANNUR,53151
12-DHARMADAM,50424
13-THALASSERY,36624
14-KUTHUPARAMBA,54722
15-MATTANNUR,40649
16-PERAVOOR,65659
17-MANANTHAVADY,61129
18-SULTHANBATHERY,75747
19-KALPETTA,59876
20-VADAKARA,39700
21-KUTTIADI,71809
22-NADAPURAM,69983
23-QUILANDY,57224
24-PERAMBRA,68258
26-ELATHUR,47330
27-KOZHIKODE NORTH,36319
28-KOZHIKODE SOUTH,49863
29-BEYPORE,54751
30-KUNNAMANGALAM,66205
31-KODUVALLY,60460
32-THIRUVAMBADY,59316
33-KONDOTTY,69668
34-ERANAD,69048
35-NILAMBUR,66354
36-WANDOOR,81964
37-MANJERI,69779
38-PERINTHALMANNA,70990
39-MANKADA,69165
40-MALAPPURAM,81072
41-VENGARA,72181
42-VALLIKKUNNU,59720
43-TIRURANGADI,62927
44-TANUR,59554
45-TIRUR,73432
46-KOTTAKKAL,71768
47-THAVANUR,51115
48-PONNANI,53692
49-THRITHALA,66505
50-PATTAMBI,56621
51-SHORNUR,41618
52-OTTAPALAM,51073
53-KONGAD,47519
54-MANNARKAD,73163
55-MALAMPUZHA,35333
56-PALAKKAD,57559
57-TARUR,43979
58-CHITTUR,61985
59-NENMARA,58908
60-ALATHUR,35146
61-CHELAKKARA,57571
62-KUNNAMKULAM,55492
63-GURUVAYOOR,50990
64-MANALUR,51097
65-WADAKKANCHERY,65535
66-OLLUR,58418
67-THRISSUR,46677
68-NATTIKA,43441
69-KAIPAMANGALAM,33384
70-IRINJALAKKUDA,57019
71-PUTHUKKAD,40986
72-CHALAKKUDY,47603
73-KODUNGALLUR,45118
74-PERUMBAVOOR,64285
75-ANGAMALY,66666
76-ALUVA,69568
77-KALAMASSERY,68726
78-PARAVUR,74985
79-VYPEN,49173
80-KOCHI,46881
81-THRIPUNITHURA,58230
82-ERANAKULAM,57819
83-THRIKKAKARA,61451
84-KUNNATHUNAD,65445
85-PIRAVOM,73770
86-MUVATTUPUZHA,60894
87-KOTHAMANGALAM,46185
88-DEVIKULAM,43728
89-UDUMBANCHOLA,49704
90-THODUPUZHA,76564
91-IDUKKI,60556
92-PEERUMADE,56270
93-PALA,58884
94-KADUTHURUTHY,73793
95-VAIKOM,37413
96-ETTUMANOOR,44906
97-KOTTAYAM,73894
98-PUTHUPPALLY,71597
99-CHANGANASSERY,50371
100-KANJIRAPPALLY,53126
101-POONJAR,35800
102-AROOR,46201
103-CHERTHALA,74001
104-ALAPPUZHA,52179
105-AMBALAPUZHA,40448
106-KUTTANAD,45223
107-HARIPAD,75980
108-KAYAMKULAM,61099
109-MAVELIKARA,43013
110-CHENGANNUR,44897
111-THIRUVALLA,51398
112-RANNI,44153
113-ARANMULA,56877
114-KONNI,72800
115-ADOOR,50574
116-KARUNAGAPPALLY,68143
117-CHAVARA,58477
118-KUNNATHUR,55196
119-KOTTARAKKARA,40811
120-PATHANAPURAM,49867
121-PUNALOOR,48554
122-CHADAYAMANGALAM,49334
123-KUNDARA,48587
124-KOLLAM,45492
125-ERAVIPURAM,36589
126-CHATHANNOOR,30139
127-VARKALA,50716
128-ATTINGAL,32425
129-CHIRAYINKEEZHU,50370
130-NEDUMANGAD,54124
131-VAMANAPURAM,56252
132-KAZHAKKOOTTAM,38602
133-VATTIYOORKAVU,51322
134-THIRUVANANTHAPURAM,46474
135-NEMOM,13860
136-ARUVIKKARA,70910
137-PARASSALA,51590
138-KATTAKKADA,50765
139-KOVALAM,60268
140-NEYYATTINKARA,54016
