P B ABDUL RAZAK,1-MANJESHWAR,56870
K SURENDRAN,1-MANJESHWAR,56781
C.H.KUNHAMBU,1-MANJESHWAR,42565
BASHEER AHAMAD,1-MANJESHWAR,759
K.SUNDARA,1-MANJESHWAR,467
RAVICHANDRA,1-MANJESHWAR,365
K P MUNEER,1-MANJESHWAR,224
JOHN D'SOUZA,1-MANJESHWAR,207
N A NELLIKKUNNU,2-KASARAGOD,64727
RAVISHA THANTHRI KUNTAR,2-KASARAGOD,56120
A.A AMEEN,2-KASARAGOD,21615
VIJAYAKUMAR B,2-KASARAGOD,585
ROSHANKUMAR,2-KASARAGOD,508
A DAMODARAN,2-KASARAGOD,283
MUNEER MUNAMBAM,2-KASARAGOD,250
K KUNHIRAMAN,3-UDMA,70679
K SUDHAKARAN,3-UDMA,66847
K.SHREEKANTH,3-UDMA,21231
GOPI KUTHIRAKALLU,3-UDMA,353
DAMODARAN.P,3-UDMA,349
MOHAMMED PAKYARA,3-UDMA,331
SUDHAKARAN CHERUKANAM,3-UDMA,208
GOVINDAN B ALINTHAZHE,3-UDMA,165
ABBAS MUTHALAPPARA,3-UDMA,157
K KUNHIRAMAN PERIYANGANANAM,3-UDMA,145
E.CHANDRASEKHARAN,4-KANHANGAD,80558
DHANYA SURESH,4-KANHANGAD,54547
M P RAGHAVAN,4-KANHANGAD,21104
CHANDRAN PARAPPA,4-KANHANGAD,965
ASSAINAR MUTTUMTHALA,4-KANHANGAD,959
SAJEEVAN R,4-KANHANGAD,663
MUHAMMAD ALI V V,4-KANHANGAD,420
KOOKKAL BALAKRISHNAN,4-KANHANGAD,294
RAGHAVAN B POODAMKALLU,4-KANHANGAD,272
BALACHANDRAN KARIMBIL,4-KANHANGAD,260
K U KRISHNAKUMAR,4-KANHANGAD,186
M. DAMODARAN,4-KANHANGAD,105
M. RAJAGOPALAN,5-TRIKARIPUR,79286
K.P. KUNHIKANNAN,5-TRIKARIPUR,62327
M. BHASKARAN,5-TRIKARIPUR,10767
C.H. MUTHALIB,5-TRIKARIPUR,1029
M.V. SHAUKATHALI,5-TRIKARIPUR,840
P.P. PURUSHOTHAMAN,5-TRIKARIPUR,263
K.P. KUNHIKANNAN KANDOTHUMPURATH,5-TRIKARIPUR,183
KUNJIKANNAN. P. M KURUVATTU VEEDU,5-TRIKARIPUR,109
K M SREEDHARAN,5-TRIKARIPUR,93
C KRISHNAN,6-PAYYANNUR,83226
SAJID MAVVAL,6-PAYYANNUR,42963
ANIAMMA TEACHER,6-PAYYANNUR,15341
VINOD KUMAR RAMANTHALI,6-PAYYANNUR,870
T V RAJESH,7-KALLIASSERI,83006
AMRITHA RAMAKRISHNAN,7-KALLIASSERI,40115
K P ARUN MASTER,7-KALLIASSERI,11036
SUNIL KOYILERIAN,7-KALLIASSERI,1455
K SUBAIR,7-KALLIASSERI,1435
SAINUDHEEN KARIVELLUR,7-KALLIASSERI,1080
JAMES MATHEW,8-TALIPARAMBA,91106
RAJESH NAMBIAR,8-TALIPARAMBA,50489
P BALAKRISHNAN MASTER,8-TALIPARAMBA,14742
IBRAHIM THIRUVATTOOR,8-TALIPARAMBA,1323
P K AYYAPPAN MASTER,8-TALIPARAMBA,675
